	Total	separated						mainNot						exportNot						
		Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.malauzai.org841	53	3	53	53	26	25	2	4	52	52	50	47	4	3	51	51	49	46	3	
com.sportytrader.livebasket	20	20	20	20	3	7	2	19	19	19	6	14	11	19	19	19	6	14	11	
bluepin_app.cont.doongdoong1	4	4	2	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
com.fuho.vacronviewer	15	4	1	1	3	2	1	5	8	8	4	9	3	4	7	7	3	8	2	
appinventor.ai_24bwestover.FoosballUtility_BW	11	11	11	11	11	11	11	10	10	10	10	10	10	0	0	0	0	0	0	
photography.darkroom	6	6	2	2	6	3	0	5	2	2	5	3	0	5	2	2	5	3	0	
com.prayag.app	62	62	62	62	28	20	11	61	61	61	55	27	23	57	57	57	53	24	21	
tush.tabiri.uzbek.meaning.dreams.tushlar	6	0	6	0	0	0	0	3	5	3	3	1	0	3	4	3	3	1	0	
com.figengungor.bebekuyutansesler	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.mediashare.djmasterdisco	16	14	1	1	1	14	2	14	13	13	14	14	2	11	0	0	1	11	1	
com.adil.sansursuz.izle	12	9	4	4	4	6	3	10	9	9	10	8	8	6	4	4	4	4	2	
mx.pmradio.player	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.subsplashconsulting.s_7FZ8T9	33	14	33	33	29	27	2	26	32	32	32	31	25	21	27	27	27	26	21	
appinventor.ai_jung720044.polish11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.golddex.hdprokamera	7	7	7	5	5	2	0	6	6	6	6	6	6	1	1	1	1	1	0	
com.bddroid.android.verbnepali	54	27	54	54	54	54	4	53	53	53	53	53	4	32	36	36	36	36	1	
com.gesgocom.appaytoss	7	7	7	5	7	7	7	6	6	6	6	6	6	5	5	4	5	5	5	
cityguide.Mallorca	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.kbf.app27730661	4	4	2	2	4	4	2	3	3	3	3	3	3	1	0	0	1	1	1	
fr.lehovetzki.ABMathlite	19	1	19	19	4	9	9	1	18	18	4	11	11	1	18	18	4	11	11	
com.thehealthymummy	105	103	105	105	103	105	36	104	104	104	104	104	99	87	87	87	87	87	73	
com.tafsir.ahlam2019	4	1	4	1	0	0	0	3	3	3	0	0	0	3	3	3	0	0	0	
com.ikeyboard.theme.vintage.holiday	20	20	20	20	17	20	4	19	19	19	19	19	14	12	12	12	12	12	6	
br.com.mobradio.radio102fmmacapa	8	6	4	4	8	5	2	6	4	4	7	5	3	4	2	2	4	3	1	
kvp.jjy.MispAndroid320	33	33	33	33	8	19	5	32	32	32	20	20	10	22	22	22	12	11	0	
com.trtarabi.android	10	7	3	10	8	7	3	7	4	9	8	7	6	6	3	8	7	6	5	
com.kelbery.inc.lovebird.pastel	22	15	22	22	22	17	2	20	21	21	21	21	20	18	19	19	19	19	14	
com.app_midwest.layout	34	34	34	34	15	34	9	33	33	33	33	33	30	30	30	30	30	30	27	
com.beridentity.app_2699_best_shoe_flat_feet	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.qg.ubtp	15	6	15	15	15	15	4	14	14	14	14	14	14	13	13	13	13	13	13	
sview.wfd.activities	27	11	27	27	20	27	2	26	26	26	26	26	23	17	19	19	18	19	10	
com.de3kes.radio	3	3	1	1	1	3	0	2	1	1	1	2	0	2	1	1	1	2	0	
com.wungames.fortpapers	8	4	4	2	2	2	1	7	7	7	6	2	3	4	4	4	4	0	1	
com.enjoymygame.carracing	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.tictacbikini	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.medicamentcontrolled	4	4	1	1	2	2	0	3	2	2	2	2	1	2	1	1	1	1	0	
com.kakao.talk.theme.simple	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.com.haeng.ruller	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.shippify.co	45	18	45	45	45	16	5	40	44	44	44	23	16	38	42	42	42	21	14	
pl.edipresse.polkinews	2	2	2	2	2	0	0	1	1	1	1	-1	0	1	1	1	1	-1	0	
com.xtplDevelopers.Fanny	11	11	11	11	11	11	9	10	10	10	10	10	10	10	10	10	10	10	10	
net.wifibible.cuba	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.lixusapps	4	4	1	1	2	0	0	3	1	1	2	1	1	3	1	1	2	1	1	
com.funny.quotes	39	30	39	39	24	26	7	33	38	38	31	30	22	27	32	32	25	24	16	
com.andromo.dev518376.app490271	4	2	4	4	4	4	0	3	3	3	3	3	2	3	3	3	3	3	2	
com.openpath.admin	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.native5.kfincal.mobile	2	2	2	2	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	
com.snapcial.snappy	27	16	27	27	27	27	13	19	26	26	26	26	17	14	21	21	21	21	12	
com.andromob.ramadantimes	21	19	15	21	21	16	6	19	16	20	20	16	16	16	13	16	16	13	10	
org.mudamos.petition	20	18	20	20	18	20	6	19	19	19	19	19	19	12	13	13	12	13	9	
com.eduven.cg.kyushu	57	27	57	57	34	28	20	55	56	56	39	31	25	52	53	53	36	28	22	
net.appeat.dogdrip	18	13	18	18	18	18	4	16	17	17	17	17	7	15	16	16	16	16	6	
com.viewfruit.activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
air.com.ohsnahs.frufru	3	3	1	1	1	3	1	2	2	2	2	2	2	1	0	0	0	1	0	
com.Foot.Spa.Game	16	16	13	16	16	16	4	15	14	15	15	15	12	11	10	11	11	11	10	
com.betterworks.BetterWorks.mobile	7	7	7	7	5	5	1	6	6	6	5	5	5	4	4	4	4	4	2	
marathi.small.lovestory	5	1	0	0	0	0	0	4	0	0	0	-1	0	4	0	0	0	-1	0	
net.Brussels.indexcity	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.omni.cleaner	80	38	80	80	57	66	16	76	79	79	76	72	70	52	56	56	49	50	29	
com.theteamie.android.uwc	8	5	3	3	3	2	1	5	5	5	4	4	3	4	3	3	3	3	2	
com.amazon.aws.console.mobile	3	3	3	3	3	1	0	2	2	2	2	1	0	1	1	1	1	1	0	
com.engmercury.wassalnow	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	
com.devaufiz.bathroom.design.ideas	7	3	2	2	3	0	0	5	4	4	5	4	4	5	4	4	5	4	4	
com.transportesmaricielo.app	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
app.spinup	10	0	10	10	5	0	0	2	9	9	9	1	1	2	8	8	6	1	1	
com.softsolutions.ilmkidunya.govtjobs	14	6	5	14	6	3	1	9	8	13	9	9	8	9	8	13	9	9	8	
com.intruderselfie.capture.and.security.alarm	18	12	18	18	5	6	2	12	17	17	15	10	9	7	12	12	8	3	2	
app22167.vinebre	33	8	33	33	10	8	0	32	32	32	26	21	2	32	32	32	26	21	2	
com.ibn.towarabic	32	1	32	32	32	0	0	31	31	31	31	0	0	31	31	31	31	0	0	
com.lyrebirdstudio.photocollageeditor	13	6	9	13	10	13	1	8	10	12	12	12	1	8	10	12	12	12	1	
com.universalappsstudio.vishwakarmaaartiandchalisa	4	1	0	0	4	0	0	3	0	0	3	0	0	3	0	0	3	0	0	
com.edugorilla.cilelectrical	48	36	48	48	41	25	16	47	47	47	47	36	19	34	40	40	39	30	15	
com.horeca.hotels	2	2	2	2	2	2	0	1	1	1	1	1	0	1	1	1	1	1	0	
com.lxl.lu.bledemo	6	4	2	2	6	3	2	5	2	2	5	3	2	5	2	2	5	3	2	
com.RedRoseLiveWallpaper	8	8	6	6	4	8	2	7	7	7	7	7	4	3	3	3	3	3	1	
com.cadmiumcd.aba2015	82	16	82	82	42	48	2	24	81	81	78	78	3	15	15	15	12	15	3	
com.paktech.live.ptvsporttv.hdstreaming.cricketapps	12	3	2	12	12	2	1	8	7	11	11	7	8	8	7	11	11	7	8	
com.fm.radios.lebanon	2	2	2	0	2	2	0	1	1	0	1	1	0	0	0	0	0	0	0	
com.games.darkmatterapps.suzukihayabusa	8	1	5	1	4	0	0	7	7	7	6	0	-1	7	7	7	6	0	-1	
com.insomniateam.childrencoloring	4	2	1	1	1	0	0	3	3	3	3	0	0	1	0	0	0	0	0	
com.anesneiraapps.randomizer	43	28	43	43	39	43	22	40	42	42	42	42	35	31	34	34	33	34	26	
com.conduit.app_793f311efdc14f0fb05df3eff01f4c5c.app	13	6	9	4	10	9	6	7	11	6	11	9	8	5	8	3	9	7	6	
com.wafasoft.Fazilat_Ke_Din_Raat_Aur_Masnun_Duaaen	13	8	6	13	13	8	6	9	7	12	12	8	6	9	7	12	12	8	6	
com.auroraeffects.reverse.ludo	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.app.tombraidert	58	25	58	58	28	23	7	38	57	57	53	39	28	32	51	51	45	33	24	
appinventor.ai_prashantohal82.rvr2016	8	8	5	8	5	5	5	7	5	7	5	5	5	5	3	5	3	3	3	
com.groovin.livedesivideochat	9	5	0	0	0	0	0	6	2	2	2	0	0	6	2	2	2	0	0	
com.app.loveharmony	15	7	4	15	15	8	3	11	12	14	14	12	11	8	8	11	11	9	8	
io.paperplane.mrb.tilesynth1000.pro	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.mobincube.patsi.sc_5RVUJH	58	32	58	58	55	52	30	43	57	57	55	54	41	37	51	51	49	48	33	
br.com.center.graberpr	88	32	88	88	88	88	26	67	87	87	87	87	81	62	82	82	82	82	73	
com.playock.cricketiq	15	13	15	15	15	15	9	14	14	14	14	14	14	11	11	11	11	11	11	
com.cdac.nhpdisease	20	10	9	9	4	4	4	19	14	14	14	14	14	19	14	14	14	14	14	
com.islamy.rawaeetilawat	4	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	
com.three60.cabioclient	41	23	41	41	31	23	10	40	40	40	40	29	14	35	35	35	35	24	9	
app.inapppurchase.removead	3	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	
com.goethe.no	9	3	9	9	5	6	2	7	8	8	7	6	5	7	8	8	7	6	5	
com.mtag.flashcode	56	36	56	56	52	56	9	55	55	55	55	55	37	34	42	42	41	42	22	
hideme.android.vpn	13	10	7	6	9	8	0	11	9	9	10	9	5	7	5	5	6	5	0	
com.inobilis.fxgm	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.celebrity_quotes.annbeattie	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.laliga.fantasy.eleven	79	25	79	79	77	79	23	78	78	78	78	78	37	27	70	70	69	70	27	
com.virtualsoftech.ashabhosle	16	12	16	16	12	12	2	14	15	15	12	12	12	11	12	12	9	9	7	
com.app.downloadmanager	32	23	32	32	20	16	8	31	31	31	31	31	23	28	28	28	28	28	20	
com.cougardating.cougard	35	6	35	35	33	35	0	34	34	34	34	34	2	34	34	34	34	34	2	
com.aji.WallPaintingIdeas	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.infraredstudios.bread	7	7	7	7	7	7	7	6	6	6	6	6	6	5	5	5	5	5	5	
net.e_motto.jngd4ks2	20	18	20	20	18	16	11	19	19	19	19	16	14	15	15	15	14	14	13	
apps.infinite.airplanecabinsound	4	2	0	0	0	0	0	3	0	0	2	0	0	3	0	0	2	0	0	
com.goodbarber.hadsanesteban	62	17	62	62	53	39	7	61	61	61	61	49	24	13	53	53	53	41	21	
com.addhatikapps.romjan	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.plugie.ceramah	13	13	7	7	7	13	5	12	12	12	12	12	12	10	8	8	8	10	8	
com.zooappapy.gritosdemujer	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
kr.goodchois.fpp.mob	20	2	2	2	12	2	1	2	2	2	14	2	2	1	1	1	12	1	1	
com.baxter.inservice.us	7	7	7	7	7	4	4	6	6	6	6	4	4	6	6	6	6	4	4	
com.remalit.kammelna	9	9	7	7	9	9	5	8	8	8	8	8	8	6	5	5	6	6	5	
com.bluelionmobile.qeep.client.android	16	11	16	16	11	12	9	15	15	15	13	12	12	9	10	10	8	8	7	
com.roxwin.tweety	33	13	33	33	24	22	17	19	32	32	29	29	27	17	29	29	24	24	24	
com.webradiocast.junhsasmfotu	15	13	15	15	15	15	11	14	14	14	14	14	14	10	10	10	10	10	10	
com.ggs.jungle.animal.hunting	17	15	13	17	15	17	15	16	16	16	16	16	16	15	15	15	15	15	15	
com.jb.gokeyboard.theme.keyboard.candychocolate	6	3	3	3	2	3	0	3	3	3	2	3	1	2	2	2	1	2	0	
ru.example.woodpecker	2	0	2	0	2	2	0	0	1	0	1	1	0	0	0	0	0	0	0	
com.km.cutpasteeasy	20	6	20	7	11	5	2	10	19	10	16	5	2	10	18	10	14	5	2	
com.bottlecap.lineandball	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
frases.inteligentes.prontas.compartilhar	8	2	0	8	3	1	1	7	3	7	7	3	3	7	3	7	7	3	3	
com.guidebook.apps.ipmahr.android	125	10	125	125	125	102	13	110	124	124	124	124	120	105	119	119	119	119	79	
com.app.hotelarcopalace	28	23	28	28	23	15	12	27	27	27	27	24	23	24	24	24	24	21	19	
com.glazegalway	293	15	293	293	14	11	7	75	292	292	54	30	27	74	290	290	53	29	26	
hk.neat.biz	10	10	10	10	8	10	6	9	9	9	9	9	9	7	7	7	7	7	7	
smartgr.kitchen.storagecabinets	20	5	20	20	20	20	5	17	19	19	19	19	17	17	19	19	19	19	17	
com.tallywithgst.android	26	26	26	26	26	26	14	25	25	25	25	25	25	14	14	14	14	14	11	
com.game.gearpuzzle3d	79	58	79	79	75	79	34	79	79	79	79	79	79	63	64	64	63	64	62	
net.micene.minigroup.palimpsests.lite	19	6	3	7	10	8	5	18	10	17	11	11	10	17	9	16	10	10	9	
com.stockpro	31	3	31	31	31	31	7	13	30	30	30	30	23	10	27	27	27	27	18	
com.scmedia.babycot	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.woxapp.Newsstand.bloggers	40	29	40	40	37	37	28	38	39	39	37	37	39	33	34	34	32	32	34	
air.com.CandySlacking	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.deperu.museosarequipa	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
md.point.map	5	5	5	5	5	5	2	4	4	4	4	4	2	3	3	3	3	3	2	
com.Paperwallnpc.Bikinibottomworld	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	
com.heokjin.handwritenote	9	3	1	1	1	3	1	3	3	3	3	3	1	3	3	3	3	3	1	
com.megacatgames.tunzor	6	3	5	5	6	6	5	4	5	5	5	5	5	4	5	5	5	5	5	
com.a24thlab.aggregatecalculator	29	2	29	29	25	2	2	2	28	28	28	2	2	2	28	28	28	2	2	
com.khjlab.batterycakewhippedcream	4	2	1	1	1	2	1	4	4	4	4	4	4	2	2	2	0	2	0	
com.kangfao.thebestwallpapercoffee2020	6	2	6	6	6	6	1	5	5	5	5	5	3	5	5	5	5	5	3	
com.simshine.aiot	140	140	140	140	138	140	65	139	139	139	139	139	138	135	135	135	134	135	129	
com.chownow.elcazadormexicanrestaurant	29	4	29	29	27	17	11	6	28	28	28	22	14	4	26	26	26	20	12	
com.sontung.esven	27	4	27	27	21	5	1	23	26	26	25	6	0	21	24	24	23	4	0	
com.townapps.ie.limerick	27	27	27	27	8	14	0	26	26	26	12	14	8	25	25	25	11	13	7	
com.prosperworks.android	39	22	39	39	37	39	2	38	38	38	38	38	16	35	35	35	35	35	12	
org.ml31.app	10	1	10	10	10	10	8	5	9	9	9	9	8	4	8	8	8	8	7	
digifit.android.virtuagym.pro.spcgeeresteinwoudenberg	6	6	3	6	3	6	3	5	3	5	4	5	3	5	3	5	4	5	3	
com.faadooengineers.free_awt	4	1	2	2	0	0	0	3	2	2	0	0	0	3	2	2	0	0	0	
com.faapps.mashary_alarada	6	6	1	1	6	6	1	5	5	5	5	5	5	4	3	3	4	4	2	
hr.v2d.ido	7	7	7	7	7	7	7	6	6	6	6	6	6	5	5	5	5	5	5	
com.mahabharat.com	9	7	9	6	6	5	5	8	8	6	8	5	5	8	8	6	8	5	5	
com.maglikds.doshnivrn	15	1	15	0	0	0	0	14	14	0	0	0	0	14	14	0	0	0	0	
com.classlink.btboces.android	33	33	33	33	33	31	5	32	32	32	32	31	30	30	30	30	30	29	28	
com.rbsoftware.pfm.personalfinancemanager	9	7	3	9	3	5	1	7	4	8	6	5	2	6	3	7	3	4	1	
com.gfstudio.survivalislandfree	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
com.greensteam	28	8	28	28	28	28	3	24	27	27	27	27	8	21	24	24	24	24	6	
com.magzter.fightersonlyenespanol	26	11	26	26	2	8	2	25	25	25	24	24	24	25	25	25	24	24	24	
com.roboeyelabs.applock	8	5	4	4	4	3	2	7	4	4	4	4	3	4	2	2	2	2	1	
com.ibrand.couplekisswp	26	21	26	26	24	14	2	25	25	25	25	16	17	22	22	22	22	13	11	
com.hejfishnativeapp	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	
com.diygxstudio.dailystretches	7	2	1	1	2	0	0	6	2	2	6	1	1	6	2	2	6	1	1	
com.mobincube.android.sc_JKS6T	15	15	15	12	13	10	6	14	14	12	13	11	7	13	13	11	12	10	6	
com.comuto	226	21	226	226	226	226	170	27	225	225	225	225	225	21	218	218	218	218	216	
com.sgconsultorit.congresodeguerrero	8	8	2	2	6	8	3	7	7	7	7	7	7	6	6	6	6	6	6	
com.empireofgames.nicolofr	10	3	10	3	1	2	0	9	9	9	2	2	0	8	8	8	2	2	0	
com.ilkerertas.offroad4x4	5	5	3	3	3	3	3	4	3	3	3	3	3	4	3	3	3	3	3	
com.glazzhousegamez.thelowrider	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	
net.mori.androsamba	27	9	3	27	8	12	1	13	9	26	23	15	8	9	4	17	7	9	3	
com.qodeSter.global.dsp	25	25	7	25	8	16	6	24	17	24	16	19	13	14	7	14	6	10	3	
com.slappslab.flashlightdisco	20	6	20	5	15	5	5	19	19	11	19	7	7	19	19	11	19	7	7	
newyear.firework.theme	15	9	5	15	9	15	5	13	12	14	14	14	13	10	9	11	11	11	10	
com.popularradiostations.freedancemusic	38	22	38	38	26	28	16	35	37	37	28	28	22	32	34	34	24	25	19	
com.hacaller.peruexchange	2	2	2	2	2	2	0	1	1	1	1	1	0	1	1	1	1	1	0	
com.einsmer.securityapp_esplugues	5	5	5	5	1	5	1	4	4	4	4	4	2	3	3	3	3	3	1	
com.aurobapps.fruittreewallpapers	4	1	1	1	4	0	0	3	3	3	3	-1	0	3	3	3	3	-1	0	
com.appmontanojd.qatarmalayalamradio986freemusicrecordonline	8	4	3	3	2	3	2	7	3	3	2	3	1	5	1	1	0	1	-1	
net.gamiya.guatemala_city_guatemala.offline.navigation	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
com.nmdp.webView	16	14	16	16	14	16	8	15	15	15	15	15	15	12	13	13	12	13	12	
com.fitnessmobileapps.fitboxing	12	10	8	12	12	12	6	11	10	11	11	11	7	10	9	10	10	10	6	
air.AdventureU	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.gigrev.road	30	10	30	30	28	28	3	29	29	29	29	28	11	10	25	25	25	25	9	
com.hivetaxi.driver.samruktaldykorgan	31	26	23	31	23	23	8	30	26	30	30	30	18	25	21	25	25	25	11	
com.prabhas47007.wfkap	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
ee.rautsik.simpletvremotecontrol	35	28	35	35	35	35	24	34	34	34	34	34	33	30	30	30	30	30	29	
com.plugindigital.chroniricXIX	12	12	10	10	12	12	9	11	10	10	11	11	11	8	7	7	8	8	7	
com.sarathi.loksabhaelectionpoll	15	13	15	15	13	11	4	13	14	14	13	13	6	10	11	11	10	10	3	
com.wZAMChat_9791113	179	91	179	179	173	169	89	126	178	178	178	178	178	83	132	132	132	132	91	
com.embratoria.embraloader	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.zhufu.kidsudoku	4	4	0	0	1	1	0	3	0	0	1	1	0	3	0	0	1	1	0	
com.webant.orders_1s	5	5	2	5	5	5	3	4	4	4	4	4	4	2	1	2	2	2	1	
fta.Oppo.F7.F5.F3.F1.F8.Plus.Pro.theme.wallpaper.launcher	9	9	9	9	9	4	4	8	8	8	8	4	4	6	6	6	6	2	2	
piletest.bit	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
com.cidcnh.caseihen	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.smartengineersinc.japaneselessons	2	2	2	2	2	2	0	1	1	1	1	1	0	1	1	1	1	1	0	
com.magzter.digitalstudio	20	11	20	20	6	9	2	19	19	19	19	8	4	16	16	16	15	5	1	
com.itosoftware.tolimatips	11	1	6	1	5	0	0	10	10	10	7	0	0	10	10	10	7	0	0	
com.photo.deletedgo.toolsapp.restorefree	9	2	9	1	9	0	0	8	8	3	8	3	1	8	8	3	8	3	1	
com.airkast.KATCFM	74	29	74	74	72	63	18	37	73	73	72	67	57	33	69	69	68	63	53	
in.reweyou.reweyou	35	18	13	35	8	10	6	31	21	34	19	20	17	21	17	31	16	17	14	
com.ezhavashaadi.android	150	150	150	150	150	150	138	149	149	149	149	149	148	137	137	137	137	137	134	
com.amadeus.merci.kq	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	
com.tudelooiberica.android.apps.wappa	23	23	23	23	14	14	7	22	22	22	19	12	9	22	22	22	19	12	9	
pranav.apps.amazing.imagecompressor	2	2	0	0	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
com.verdehero.verdehero	31	17	31	31	19	15	3	21	30	30	30	21	9	16	24	24	22	16	6	
com.mobtop.android.punjabi	54	26	54	54	54	54	3	51	53	53	53	53	3	33	37	37	37	37	1	
com.zetaGames.GravityBallZETA	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.andromo.dev597108.app883267	12	8	12	12	9	12	2	10	11	11	11	11	10	9	10	10	10	10	9	
com.im.fantastic.salestrainingvideos	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	7	7	7	
jp.co.canon.oip.android.opal	4	4	1	4	2	3	0	3	1	3	3	3	-1	2	0	2	2	2	-1	
net.pluservice.elbasharing	6	6	6	6	4	6	6	5	5	5	4	5	5	1	1	1	0	1	1	
com.attendify.confpl4229	17	6	17	17	9	13	5	16	16	16	14	14	11	14	15	15	13	13	9	
jp.heroz.android.shogiwars	7	7	7	7	7	7	5	6	6	6	6	6	6	5	5	5	5	5	5	
com.ziyone.morningphotoframe	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.german4you.gswedishgeographyword	10	6	6	6	5	7	2	6	9	9	9	8	5	3	5	5	5	5	1	
com.essentl.myeo.youngliving	14	0	14	14	10	5	1	6	13	13	12	9	9	6	13	13	12	9	9	
com.evil.dwarves	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	
com.elib.knimbusapp	23	6	23	23	23	7	3	22	22	22	22	22	8	20	21	21	21	12	8	
com.gazzappergames.breakerbricks	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.ginortcar.plantas.medicinales.medicina.natural	56	12	56	56	50	49	4	30	55	55	54	54	35	23	48	48	46	47	24	
com.borrowermobileapp	19	13	17	19	17	17	8	17	17	18	17	17	17	16	16	16	16	16	16	
tk.artsakenos.chinesedriverlicense	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.compusystems.csattendee.e693	84	54	84	84	42	44	26	69	83	83	73	55	53	58	72	72	62	44	42	
com.eurisko.consumer	26	11	4	26	12	12	3	12	5	25	12	12	11	9	5	22	9	9	4	
corridaeleitoral.com.br.corridaeleitoral	17	13	13	13	3	5	0	16	16	16	15	15	14	14	14	14	13	14	12	
com.gronda.app	9	7	9	9	7	9	5	8	8	8	8	8	8	5	6	6	5	6	5	
com.victory.game	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
apps.infinite.icypuddlesound	4	2	0	0	0	0	0	3	0	0	2	0	0	3	0	0	2	0	0	
com.gfau.hea	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	
com.app.bookmytournow	71	32	71	71	37	29	10	69	70	70	70	46	35	62	63	63	57	39	28	
com.plh.gofastlauncher	15	13	6	6	11	13	0	13	8	8	13	13	11	8	8	8	8	8	6	
com.greeny.my_tawaaf	8	6	5	3	4	2	0	7	6	6	5	2	1	6	6	6	5	1	1	
com.nelson.t9interpretertp	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
theme.eagle.colorful.abstract.meizu.galaxy.nokia.honor.nex.findx.android.apple.iphone.ios.launcher.wallpaper	6	4	1	1	2	5	1	4	3	3	4	4	3	2	1	1	2	2	1	
com.affinity.nas	9	9	4	4	9	9	7	8	8	8	8	8	8	4	2	2	4	4	4	
com.lucentGK.Bookenglish	12	1	12	12	10	4	4	3	11	11	10	11	11	3	11	11	10	11	11	
com.peafone.mathpuzzle	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
com.sd.rentpass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.teamproject.flamingo	16	13	16	16	10	10	3	15	15	15	14	14	11	11	11	11	11	11	8	
com.andromo.dev315366.app306419	15	15	1	15	15	15	1	14	14	14	14	14	14	13	12	13	13	13	5	
com.app_morgenhaar.layout	21	8	6	21	9	18	6	20	19	20	20	18	17	18	17	18	18	16	15	
com.stt.android	93	30	93	93	90	93	37	73	92	92	92	92	89	64	82	82	82	82	73	
com.PlaybackInteractive.CurryGoatRevenge	17	17	12	12	17	15	10	16	15	15	16	15	15	14	13	13	14	13	13	
com.ecaptureinc.brs127051	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.multibrains.taxi.passenger.saytaxi	40	40	40	40	38	40	32	39	39	39	39	39	39	37	37	37	36	37	36	
nl.burgerking.app	14	12	14	14	12	14	8	13	13	13	13	13	13	7	7	7	7	7	7	
com.rajekwesi.lovebird.ngetik.ngekek.offline	15	7	15	15	15	10	1	13	14	14	14	14	13	12	13	13	13	13	12	
com.vau.apphunt	33	2	33	33	31	25	21	14	32	32	32	31	31	13	30	30	29	29	28	
it.erickson.involoconlamatematica	30	28	30	30	30	30	19	29	29	29	29	29	29	20	20	20	20	20	20	
dwi.dreamphotolab.instamag_photocollage	12	5	3	3	4	3	3	8	3	3	4	3	3	8	3	3	4	3	3	
com.thecommunitycloud.momentum	29	17	29	29	29	29	13	26	28	28	28	28	16	26	28	28	28	28	16	
com.superfanu.oilcityhighschooloilers	47	34	47	47	33	12	5	41	46	46	41	18	15	39	45	45	39	17	13	
jp.co.googolplex.android.colladaviewer	2	2	2	2	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	
inc.meh.MileageTracker	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
