		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.prayag.app	62	0	0	0	48	59	106	0	0	0	41	56	95	0	0	0	48	68	111	
tush.tabiri.uzbek.meaning.dreams.tushlar	6	5	0	5	5	7	10	5	0	5	5	7	10	5	0	5	5	9	19	
com.figengungor.bebekuyutansesler	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
com.mediashare.djmasterdisco	16	2	13	13	12	1	16	2	1	1	0	1	1	2	13	13	12	1	16	
com.adil.sansursuz.izle	12	2	6	6	6	8	10	2	5	5	4	8	8	2	6	6	6	12	14	
mx.pmradio.player	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.subsplashconsulting.s_7FZ8T9	33	85	0	0	3	4	77	85	0	0	2	3	35	85	0	0	3	6	77	
appinventor.ai_jung720044.polish11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.golddex.hdprokamera	7	0	0	1	1	4	6	0	0	1	1	1	1	0	0	1	1	5	7	
com.bddroid.android.verbnepali	54	24	0	0	0	0	367	24	0	0	0	0	344	24	0	0	0	0	368	
com.gesgocom.appaytoss	7	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	
cityguide.Mallorca	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.kbf.app27730661	4	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	
fr.lehovetzki.ABMathlite	19	38	0	0	29	17	16	38	0	0	29	17	16	38	0	0	29	17	16	
com.thehealthymummy	105	1	0	0	2	0	93	1	0	0	2	0	89	1	0	0	2	0	419	
com.tafsir.ahlam2019	4	2	0	2	3	3	3	2	0	2	3	3	3	2	0	2	3	3	3	
com.ikeyboard.theme.vintage.holiday	20	0	0	0	2	0	22	0	0	0	0	0	4	0	0	0	2	0	25	
br.com.mobradio.radio102fmmacapa	8	1	4	4	0	3	8	1	2	2	0	3	4	1	4	4	0	3	8	
kvp.jjy.MispAndroid320	33	0	0	0	25	15	67	0	0	0	21	15	47	0	0	0	25	37	323	
com.trtarabi.android	10	2	18	0	1	6	6	2	14	0	0	6	2	2	18	0	1	6	9	
com.kelbery.inc.lovebird.pastel	22	12	0	0	0	4	28	12	0	0	0	0	7	12	0	0	0	10	28	
com.app_midwest.layout	34	0	0	0	18	0	41	0	0	0	17	0	28	0	0	0	18	0	152	
com.beridentity.app_2699_best_shoe_flat_feet	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.qg.ubtp	15	27	0	0	0	0	10	27	0	0	0	0	10	27	0	0	0	0	12	
sview.wfd.activities	27	19	0	0	4	0	84	19	0	0	4	0	42	19	0	0	4	0	77	
com.de3kes.radio	3	0	1	1	2	0	3	0	0	0	0	0	1	0	1	1	2	0	6	
com.wungames.fortpapers	8	3	3	13	4	6	6	3	3	3	4	6	5	3	3	13	4	13	13	
com.enjoymygame.carracing	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.tictacbikini	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.medicamentcontrolled	4	0	3	3	2	1	5	0	0	0	0	1	1	0	3	3	2	1	7	
com.kakao.talk.theme.simple	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.com.haeng.ruller	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.shippify.co	45	57	0	0	0	53	110	57	0	0	0	53	79	57	0	0	0	67	119	
pl.edipresse.polkinews	2	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	5	5	
com.xtplDevelopers.Fanny	11	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	
net.wifibible.cuba	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.lixusapps	4	0	2	2	1	6	6	0	2	2	1	6	6	0	2	2	1	8	8	
com.funny.quotes	39	7	0	0	16	17	55	7	0	0	14	17	42	7	0	0	16	17	109	
com.andromo.dev518376.app490271	4	1	0	0	0	0	4	1	0	0	0	0	4	1	0	0	0	1	4	
com.openpath.admin	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.native5.kfincal.mobile	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	
com.snapcial.snappy	27	31	0	0	0	0	23	31	0	0	0	0	23	31	0	0	0	0	28	
com.andromob.ramadantimes	21	1	7	0	0	4	15	1	7	0	0	4	6	1	7	0	0	10	27	
org.mudamos.petition	20	1	0	0	2	0	13	1	0	0	2	0	3	1	0	0	2	0	19	
com.eduven.cg.kyushu	57	84	0	0	31	54	425	84	0	0	29	54	394	84	0	0	31	69	426	
net.appeat.dogdrip	18	7	0	0	0	0	14	7	0	0	0	0	12	7	0	0	0	0	13	
com.viewfruit.activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
air.com.ohsnahs.frufru	3	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	
com.Foot.Spa.Game	16	0	2	0	0	0	11	0	0	0	0	0	4	0	2	0	0	1	13	
com.betterworks.BetterWorks.mobile	7	0	0	0	1	1	8	0	0	0	1	1	1	0	0	0	1	1	8	
marathi.small.lovestory	5	3	4	4	4	5	4	3	4	4	4	5	4	3	4	4	4	5	4	
net.Brussels.indexcity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.omni.cleaner	80	104	0	0	17	12	198	104	0	0	13	12	38	104	0	0	17	12	215	
com.theteamie.android.uwc	8	2	3	3	4	5	9	2	2	2	4	5	8	2	3	3	4	7	25	
com.amazon.aws.console.mobile	3	0	0	0	0	2	3	0	0	0	0	2	3	0	0	0	0	2	3	
com.engmercury.wassalnow	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
com.devaufiz.bathroom.design.ideas	7	2	3	3	2	6	5	2	3	3	2	6	5	2	3	3	2	9	8	
com.transportesmaricielo.app	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
app.spinup	10	10	0	0	3	16	16	10	0	0	3	16	16	10	0	0	3	16	16	
com.softsolutions.ilmkidunya.govtjobs	14	10	12	0	7	12	14	10	11	0	7	12	13	10	12	0	7	30	25	
com.intruderselfie.capture.and.security.alarm	18	6	0	0	13	11	17	6	0	0	0	7	7	6	0	0	13	11	17	
app22167.vinebre	33	485	0	0	28	30	354	485	0	0	24	28	325	485	0	0	28	33	370	
com.ibn.towarabic	32	30	0	0	0	31	31	30	0	0	0	31	31	30	0	0	0	31	31	
com.lyrebirdstudio.photocollageeditor	13	7	3	0	2	0	19	7	3	0	2	0	19	7	3	0	2	0	33	
com.universalappsstudio.vishwakarmaaartiandchalisa	4	2	3	3	0	4	3	2	3	3	0	4	3	2	3	3	0	4	3	
com.edugorilla.cilelectrical	48	20	0	0	6	37	66	20	0	0	4	37	51	20	0	0	6	37	87	
com.horeca.hotels	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	11	
com.lxl.lu.bledemo	6	2	5	5	0	3	3	2	3	3	0	3	2	2	5	5	0	3	3	
com.RedRoseLiveWallpaper	8	0	2	2	2	0	7	0	0	0	0	0	3	0	2	2	2	1	7	
com.cadmiumcd.aba2015	82	1126	0	0	28	25	666	1126	0	0	24	25	566	1126	0	0	28	66	647	
com.paktech.live.ptvsporttv.hdstreaming.cricketapps	12	9	40	0	0	40	8	9	40	0	0	40	8	9	40	0	0	42	8	
com.fm.radios.lebanon	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	3	
com.games.darkmatterapps.suzukihayabusa	8	7	2	7	2	8	9	7	2	7	2	8	9	7	2	7	2	8	9	
com.insomniateam.childrencoloring	4	1	2	2	2	3	5	1	2	2	2	3	5	1	2	2	2	4	5	
com.anesneiraapps.randomizer	43	31	0	0	3	0	37	31	0	0	2	0	25	31	0	0	3	0	42	
com.conduit.app_793f311efdc14f0fb05df3eff01f4c5c.app	13	9	3	18	2	3	8	9	1	13	1	3	4	9	3	18	2	12	28	
com.wafasoft.Fazilat_Ke_Din_Raat_Aur_Masnun_Duaaen	13	7	30	0	0	4	12	7	30	0	0	4	12	7	30	0	0	10	12	
com.auroraeffects.reverse.ludo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.app.tombraidert	58	509	0	0	26	38	88	509	0	0	19	33	68	509	0	0	26	38	92	
appinventor.ai_prashantohal82.rvr2016	8	0	3	0	4	3	4	0	3	0	4	3	4	0	3	0	4	3	4	
com.groovin.livedesivideochat	9	3	10	10	9	11	11	3	10	10	9	11	11	3	10	10	9	11	13	
com.app.loveharmony	15	13	12	0	0	9	17	13	8	0	0	8	10	13	12	0	0	17	27	
io.paperplane.mrb.tilesynth1000.pro	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.mobincube.patsi.sc_5RVUJH	58	244	0	0	2	5	134	244	0	0	2	5	119	244	0	0	2	5	179	
br.com.center.graberpr	88	887	0	0	0	0	70	887	0	0	0	0	48	887	0	0	0	0	76	
com.playock.cricketiq	15	1	0	0	0	0	5	1	0	0	0	0	3	1	0	0	0	0	8	
com.cdac.nhpdisease	20	12	13	13	18	18	18	12	13	13	18	18	18	12	13	13	18	18	18	
com.islamy.rawaeetilawat	4	9	5	7	6	7	8	9	5	7	6	7	8	9	5	7	6	7	8	
com.three60.cabioclient	41	42	0	0	9	30	85	42	0	0	9	30	82	42	0	0	9	40	101	
app.inapppurchase.removead	3	1	4	4	1	2	4	1	4	4	1	2	4	1	4	4	1	2	4	
com.goethe.no	9	4	0	0	3	2	7	4	0	0	3	2	5	4	0	0	3	2	11	
com.mtag.flashcode	56	42	0	0	3	0	97	42	0	0	2	0	47	42	0	0	3	0	116	
hideme.android.vpn	13	2	7	9	3	5	20	2	2	2	3	5	7	2	7	9	3	5	24	
com.inobilis.fxgm	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.celebrity_quotes.annbeattie	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.laliga.fantasy.eleven	79	1584	0	0	2	0	85	1584	0	0	2	0	81	1584	0	0	2	0	95	
com.virtualsoftech.ashabhosle	16	2	0	0	3	3	12	2	0	0	3	3	4	2	0	0	3	4	12	
com.app.downloadmanager	32	13	0	0	18	21	46	13	0	0	11	21	35	13	0	0	18	39	67	
com.cougardating.cougard	35	217	0	0	1	0	57	217	0	0	1	0	55	217	0	0	1	2	93	
com.aji.WallPaintingIdeas	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.infraredstudios.bread	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
net.e_motto.jngd4ks2	20	2	0	0	1	5	16	2	0	0	1	5	5	2	0	0	1	5	16	
apps.infinite.airplanecabinsound	4	2	4	4	2	4	3	2	4	4	2	4	3	2	4	4	2	4	3	
com.goodbarber.hadsanesteban	62	1542	0	0	8	24	657	1542	0	0	8	24	607	1542	0	0	8	30	1372	
com.addhatikapps.romjan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.plugie.ceramah	13	0	5	5	3	0	8	0	1	1	1	0	5	0	5	5	3	3	12	
com.zooappapy.gritosdemujer	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
kr.goodchois.fpp.mob	20	153	276	276	7	276	78	153	276	276	6	276	77	153	276	276	7	313	78	
com.baxter.inservice.us	7	0	0	0	0	3	3	0	0	0	0	3	3	0	0	0	0	3	5	
com.remalit.kammelna	9	0	1	1	0	0	3	0	0	0	0	0	1	0	1	1	0	1	3	
com.bluelionmobile.qeep.client.android	16	4	0	0	4	4	7	4	0	0	4	4	6	4	0	0	4	6	16	
com.roxwin.tweety	33	23	0	0	11	13	20	23	0	0	6	10	10	23	0	0	11	46	21	
com.webradiocast.junhsasmfotu	15	1	0	0	0	0	3	1	0	0	0	0	2	1	0	0	0	0	7	
com.ggs.jungle.animal.hunting	17	2	2	0	1	0	1	2	1	0	1	0	1	2	2	0	1	0	1	
com.jb.gokeyboard.theme.keyboard.candychocolate	6	2	4	4	3	2	5	2	4	4	2	2	2	2	4	4	3	2	5	
ru.example.woodpecker	2	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	
com.km.cutpasteeasy	20	14	0	39	8	40	29	14	0	39	8	40	29	14	0	39	8	42	29	
com.bottlecap.lineandball	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	
frases.inteligentes.prontas.compartilhar	8	6	32	0	4	7	7	6	32	0	4	7	7	6	32	0	4	7	6	
com.guidebook.apps.ipmahr.android	125	944	0	0	0	23	428	944	0	0	0	23	407	944	0	0	0	25	466	
com.app.hotelarcopalace	28	3	0	0	4	14	16	3	0	0	4	14	15	3	0	0	4	26	30	
com.glazegalway	293	1406	0	0	1463	1590	1629	1406	0	0	1463	1590	1626	1406	0	0	1463	1633	1584	
hk.neat.biz	10	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	1	0	5	
smartgr.kitchen.storagecabinets	20	39	0	0	0	0	26	39	0	0	0	0	26	39	0	0	0	5	27	
com.tallywithgst.android	26	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	18	
com.game.gearpuzzle3d	79	52	0	0	2	0	47	52	0	0	1	0	21	52	0	0	2	0	53	
net.micene.minigroup.palimpsests.lite	19	13	101	10	8	17	16	13	98	7	7	17	13	13	101	10	8	37	54	
com.stockpro	31	425	0	0	0	0	34	425	0	0	0	0	33	425	0	0	0	0	63	
com.scmedia.babycot	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.woxapp.Newsstand.bloggers	40	33	0	0	2	2	10	33	0	0	2	2	10	33	0	0	2	4	11	
air.com.CandySlacking	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
com.deperu.museosarequipa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
md.point.map	5	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	13	
com.Paperwallnpc.Bikinibottomworld	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.heokjin.handwritenote	9	10	17	17	9	8	14	10	16	16	8	8	10	10	17	17	9	8	14	
com.megacatgames.tunzor	6	2	1	1	0	0	1	2	1	1	0	0	1	2	1	1	0	0	1	
com.a24thlab.aggregatecalculator	29	31	0	0	4	31	31	31	0	0	4	31	31	31	0	0	4	31	31	
com.khjlab.batterycakewhippedcream	4	1	2	2	4	1	4	1	1	1	1	1	1	1	2	2	4	1	4	
com.kangfao.thebestwallpapercoffee2020	6	6	0	0	0	0	4	6	0	0	0	0	4	6	0	0	0	1	4	
com.simshine.aiot	140	0	0	0	1	0	84	0	0	0	1	0	69	0	0	0	1	0	96	
com.chownow.elcazadormexicanrestaurant	29	378	0	0	2	10	25	378	0	0	2	10	22	378	0	0	2	21	57	
com.sontung.esven	27	65	0	0	4	27	47	65	0	0	1	27	40	65	0	0	4	28	47	
com.townapps.ie.limerick	27	0	0	0	23	12	63	0	0	0	21	12	48	0	0	0	23	12	71	
com.prosperworks.android	39	15	0	0	1	0	124	15	0	0	1	0	91	15	0	0	1	22	142	
org.ml31.app	10	36	0	0	0	0	1	36	0	0	0	0	1	36	0	0	0	1	1	
digifit.android.virtuagym.pro.spcgeeresteinwoudenberg	6	0	2	0	2	0	2	0	0	0	0	0	0	0	2	0	2	3	44	
com.faadooengineers.free_awt	4	2	1	1	4	4	4	2	1	1	4	4	4	2	1	1	4	5	4	
com.faapps.mashary_alarada	6	0	4	4	0	0	8	0	0	0	0	0	1	0	4	4	0	2	8	
hr.v2d.ido	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.mahabharat.com	9	1	0	2	2	3	3	1	0	2	2	3	3	1	0	2	2	3	3	
com.maglikds.doshnivrn	15	36	0	37	37	37	37	36	0	37	37	37	37	36	0	37	37	37	37	
com.classlink.btboces.android	33	0	0	0	0	1	29	0	0	0	0	1	29	0	0	0	0	30	146	
com.rbsoftware.pfm.personalfinancemanager	9	1	6	0	5	5	9	1	4	0	2	5	6	1	6	0	5	8	20	
com.gfstudio.survivalislandfree	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.greensteam	28	15	0	0	0	0	39	15	0	0	0	0	36	15	0	0	0	0	39	
com.magzter.fightersonlyenespanol	26	48	0	0	41	34	51	48	0	0	40	33	44	48	0	0	41	34	50	
com.roboeyelabs.applock	8	6	4	4	4	5	11	6	2	2	2	3	8	6	4	4	4	5	11	
com.ibrand.couplekisswp	26	4	0	0	1	17	34	4	0	0	1	17	16	4	0	0	1	17	52	
com.hejfishnativeapp	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.diygxstudio.dailystretches	7	5	8	8	5	9	7	5	8	8	5	9	7	5	8	8	5	11	7	
com.mobincube.android.sc_JKS6T	15	0	0	2	1	4	12	0	0	2	1	4	12	0	0	2	1	4	12	
com.comuto	226	37700	0	0	0	0	77	37700	0	0	0	0	65	37700	0	0	0	0	91	
com.sgconsultorit.congresodeguerrero	8	0	6	6	1	0	4	0	3	3	0	0	1	0	6	6	1	0	4	
com.empireofgames.nicolofr	10	49	0	14	15	13	28	49	0	11	12	12	25	49	0	14	15	15	28	
com.ilkerertas.offroad4x4	5	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	2	1	
com.glazzhousegamez.thelowrider	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
net.mori.androsamba	27	31	45	0	19	28	44	31	35	0	15	28	34	31	45	0	19	41	69	
com.qodeSter.global.dsp	25	0	22	0	18	9	28	0	8	0	8	8	9	0	22	0	18	10	30	
com.slappslab.flashlightdisco	20	22	0	23	8	26	27	22	0	23	8	26	27	22	0	23	8	29	32	
newyear.firework.theme	15	6	14	0	6	0	13	6	12	0	4	0	8	6	14	0	6	1	13	
com.popularradiostations.freedancemusic	38	26	0	0	27	23	53	26	0	0	21	21	31	26	0	0	27	27	56	
com.hacaller.peruexchange	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	
com.einsmer.securityapp_esplugues	5	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	3	
com.aurobapps.fruittreewallpapers	4	3	3	3	0	6	4	3	3	3	0	6	4	3	3	3	0	6	4	
com.appmontanojd.qatarmalayalamradio986freemusicrecordonline	8	3	5	5	7	5	9	3	5	5	6	5	6	3	5	5	7	5	16	
net.gamiya.guatemala_city_guatemala.offline.navigation	2	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	
com.nmdp.webView	16	1	0	0	2	0	6	1	0	0	2	0	3	1	0	0	2	0	27	
com.fitnessmobileapps.fitboxing	12	2	5	0	0	0	7	2	1	0	0	0	4	2	5	0	0	1	58	
air.AdventureU	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.gigrev.road	30	268	0	0	1	1	152	268	0	0	1	1	133	268	0	0	1	1	204	
com.hivetaxi.driver.samruktaldykorgan	31	4	9	0	10	12	56	4	7	0	6	12	36	4	9	0	10	14	158	
com.prabhas47007.wfkap	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ee.rautsik.simpletvremotecontrol	35	18	0	0	0	0	9	18	0	0	0	0	8	18	0	0	0	1	12	
com.plugindigital.chroniricXIX	12	0	2	2	0	0	2	0	2	2	0	0	0	0	2	2	0	0	2	
com.sarathi.loksabhaelectionpoll	15	1	0	0	1	3	19	1	0	0	1	3	19	1	0	0	1	3	19	
com.wZAMChat_9791113	179	3724	0	0	3	8	309	3724	0	0	1	7	180	3724	0	0	3	10	332	
com.embratoria.embraloader	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.zhufu.kidsudoku	4	0	9	9	2	2	3	0	9	9	2	2	3	0	9	9	2	3	3	
com.webant.orders_1s	5	0	4	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	
fta.Oppo.F7.F5.F3.F1.F8.Plus.Pro.theme.wallpaper.launcher	9	0	0	0	0	4	4	0	0	0	0	4	4	0	0	0	0	6	6	
piletest.bit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	
com.cidcnh.caseihen	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.smartengineersinc.japaneselessons	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	4	
com.magzter.digitalstudio	20	18	0	0	17	17	29	18	0	0	15	17	23	18	0	0	17	17	36	
com.itosoftware.tolimatips	11	14	4	14	6	17	17	14	4	14	6	17	17	14	4	14	6	17	17	
com.photo.deletedgo.toolsapp.restorefree	9	10	0	9	0	10	12	10	0	9	0	10	12	10	0	9	0	12	12	
com.airkast.KATCFM	74	1516	0	0	1	12	117	1516	0	0	1	12	95	1516	0	0	1	20	114	
in.reweyou.reweyou	35	17	27	0	35	33	47	17	23	0	30	31	39	17	27	0	35	48	52	
com.ezhavashaadi.android	150	0	0	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	24	
com.amadeus.merci.kq	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.tudelooiberica.android.apps.wappa	23	0	0	0	9	14	28	0	0	0	9	14	26	0	0	0	9	38	56	
pranav.apps.amazing.imagecompressor	2	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	5	
com.verdehero.verdehero	31	33	0	0	13	27	58	33	0	0	13	27	49	33	0	0	13	27	73	
com.mobtop.android.punjabi	54	25	0	0	0	0	380	25	0	0	0	0	357	25	0	0	0	0	381	
com.zetaGames.GravityBallZETA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.andromo.dev597108.app883267	12	6	0	0	2	0	8	6	0	0	1	0	6	6	0	0	2	1	9	
com.im.fantastic.salestrainingvideos	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jp.co.canon.oip.android.opal	4	0	2	0	1	1	7	0	0	0	0	1	2	0	2	0	1	1	2397	
net.pluservice.elbasharing	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
com.attendify.confpl4229	17	28	0	0	7	3	30	28	0	0	7	3	29	28	0	0	7	4	83	
jp.heroz.android.shogiwars	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	
com.ziyone.morningphotoframe	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	
com.german4you.gswedishgeographyword	10	3	2	2	4	2	14	3	0	0	0	1	2	3	2	2	4	7	14	
com.essentl.myeo.youngliving	14	80	0	0	2	9	12	80	0	0	2	9	12	80	0	0	2	9	12	
com.evil.dwarves	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.elib.knimbusapp	23	20	0	0	0	24	44	20	0	0	0	24	41	20	0	0	0	26	66	
com.gazzappergames.breakerbricks	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.ginortcar.plantas.medicinales.medicina.natural	56	1093	0	0	4	6	381	1093	0	0	4	6	369	1093	0	0	4	16	418	
com.borrowermobileapp	19	9	1	0	1	1	7	9	1	0	1	1	3	9	1	0	1	1	9	
tk.artsakenos.chinesedriverlicense	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	
com.compusystems.csattendee.e693	84	106	0	0	86	109	218	106	0	0	81	106	193	106	0	0	86	181	339	
com.eurisko.consumer	26	156	39	0	14	19	34	156	21	0	14	19	18	156	39	0	14	22	34	
corridaeleitoral.com.br.corridaeleitoral	17	2	2	2	21	19	40	2	2	2	21	19	40	2	2	2	21	45	72	
com.gronda.app	9	1	0	0	2	0	3	1	0	0	2	0	2	1	0	0	2	0	9	
com.victory.game	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
apps.infinite.icypuddlesound	4	2	4	4	2	4	3	2	4	4	2	4	3	2	4	4	2	4	3	
com.gfau.hea	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.app.bookmytournow	71	563	0	0	33	51	119	563	0	0	21	44	93	563	0	0	33	53	120	
com.plh.gofastlauncher	15	1	39	44	2	3	18	1	3	3	1	3	1	1	39	44	2	3	18	
com.greeny.my_tawaaf	8	2	2	4	3	6	8	2	0	2	1	6	6	2	2	4	3	6	14	
com.nelson.t9interpretertp	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
theme.eagle.colorful.abstract.meizu.galaxy.nokia.honor.nex.findx.android.apple.iphone.ios.launcher.wallpaper	6	1	3	3	2	1	6	1	1	1	0	1	1	1	3	3	2	2	6	
com.affinity.nas	9	0	3	3	0	0	1	0	0	0	0	0	0	0	3	3	0	0	3	
com.lucentGK.Bookenglish	12	18	0	0	1	7	7	18	0	0	1	7	7	18	0	0	1	7	10	
com.peafone.mathpuzzle	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
com.sd.rentpass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.teamproject.flamingo	16	2	0	0	4	5	18	2	0	0	4	5	6	2	0	0	4	8	24	
com.andromo.dev315366.app306419	15	0	13	0	0	0	68	0	0	0	0	0	36	0	13	0	0	7	68	
com.app_morgenhaar.layout	21	84	37	0	10	2	25	84	20	0	9	2	16	84	37	0	10	2	83	
com.stt.android	93	1165	0	0	3	0	83	1165	0	0	2	0	40	1165	0	0	3	0	83	
com.PlaybackInteractive.CurryGoatRevenge	17	0	3	3	0	1	4	0	1	1	0	1	3	0	3	3	0	2	6	
com.ecaptureinc.brs127051	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.multibrains.taxi.passenger.saytaxi	40	0	0	0	2	0	6	0	0	0	2	0	6	0	0	0	2	0	6	
nl.burgerking.app	14	1	0	0	2	0	4	1	0	0	2	0	2	1	0	0	2	0	10	
com.rajekwesi.lovebird.ngetik.ngekek.offline	15	14	0	0	0	4	20	14	0	0	0	0	7	14	0	0	0	10	20	
com.vau.apphunt	33	589	0	0	2	7	10	589	0	0	2	7	10	589	0	0	2	11	11	
it.erickson.involoconlamatematica	30	1	0	0	0	0	10	1	0	0	0	0	5	1	0	0	0	0	14	
dwi.dreamphotolab.instamag_photocollage	12	7	17	17	13	18	17	7	17	17	13	18	17	7	17	17	13	18	17	
com.thecommunitycloud.momentum	29	31	0	0	0	0	18	31	0	0	0	0	18	31	0	0	0	0	66	
com.superfanu.oilcityhighschooloilers	47	9	0	0	11	37	46	9	0	0	11	37	40	9	0	0	11	38	51	
jp.co.googolplex.android.colladaviewer	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	
inc.meh.MileageTracker	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.ku6.android.microfilm	6	4	3	3	4	3	5	4	3	3	3	3	3	4	3	3	4	3	5	
com.YoungTech.AinakWalaJin.AinakWalaJinDrama	3	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	
jjong.kim.childvideo	6	1	3	3	3	2	7	1	2	2	2	2	3	1	3	3	3	4	11	
com.englearner.nepalitoenglishspeaking	52	1081	0	0	15	14	310	1081	0	0	14	14	306	1081	0	0	15	38	357	
com.app.brothersgas	43	2	89	88	41	0	59	2	89	88	41	0	58	2	89	88	41	0	57	
